species,source,reference_link,population_ID,reference,trait,unit,mean.male,n.male,SD.male,mean.female,n.female,SD.female,comments,exclude,location,Measurement
Ammodramus savannarum pratensis,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,19,new_21,wing chord,mm,59.8,42,1.3,NA,NA,NA,Estimates originally extracted by Ruth 2017 from JVWells in Vickery 1996; cannot access reference,No,Maine,Not tracked
Ammodramus savannarum pratensis,Ruth 2017,https://doi.org/10.1674/0003-0031-178.1.64,20,new_21,wing chord,mm,62,8,0.9,NA,NA,NA,Estimates originally extracted by Ruth 2017 from Crossman 1989 (master's thesis); cannot find reference,No,Conneticut,Not tracked
Anas cyanoptera septentrionalium,Wilson et al. 2012,https://doi.org/10.3184/175815512X13350025801205,21,new,wing chord,mm,188.8,50,6.15,180.7,10,5.06,"Reported SE.male: 0.87, SE.female: 1.60; original SD.male: 6.15182899632296, SD.female: 5.05964425626941",No,"California, Colorado, Oregon, and Utah",Not tracked
Anas discors,Wilson et al. 2012,https://doi.org/10.3184/175815512X13350025801205,22,new,wing chord,mm,187.6,34,4.08,177.2,13,4.98,"Reported SE.male: 0.7, SE.female: 1.38; original SD.male: 4.08166632639171, SD.female: 4.9756607601403",No,"North Dakota, Oregon, and South Dakota",Not tracked
Andropadus latirostris,Dongmo et al. 2015,https://doi.org/10.1111/aje.12184,23,new,wing length,mm,80.6,27,2.8,74.2,18,1.9,"Original reference: Dongmo et al. 2014, Cameroon population",No,"Lower Guinean forest, Cameroon",Not tracked
Andropadus latirostris,Dongmo et al. 2015,https://doi.org/10.1111/aje.12184,24,new,wing length,mm,79.4,15,1.9,73.4,26,2,"Original reference: Dongmo et al. 2014, population from Ghana",No,"Upper Guinean forest, Ghana",Not tracked
Andropadus tephrolaemus,Nana et al. 2014,https://doi.org/10.3377/004.049.0214,25,new,wing length,mm,86.3,43,3.2,82.9,23,3.1,NA,No,"Mount Cameroon National Park, Cameroon (4°08’N, 9°07’E)",Not tracked
Anous stolidus,Chardine & Morris 1989,https://doi.org/10.2307/1368071,26,R&E2013,wing length,mm,273,26,4.2,268,23,3.7,NA,No,"Culebra National Wild-life Refuge, Culebra, Puerto Rico (18°20'N,65°18'W)",Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,27,R&E2013,wing length,mm,72.7,27,1.77,69.76,25,1.65,"Reported SE.male: 0.34, SE.female: 0.33",No,Selvagen Grande,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,28,R&E2013,wing length,mm,76.3,10,1.77,73,2,1.41,"Reported SE.male: 0.56, SE.female: 1",No,Fuerteventura,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,29,R&E2013,wing length,mm,76.15,24,1.22,72.69,8,1.5,"Reported SE.male: 0.25, SE.female: 0.53",No,Tenerife,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,30,R&E2013,wing length,mm,75.58,12,1.63,73,1,NA,"Reported SE.male: 0.47, no SE.female since n = 1",No,Lanzarote,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,31,R&E2013,wing length,mm,75.78,23,1.73,72,7,0.82,"Reported SE.male: 0.36, SE.female: 0.31",No,La Gomera,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,32,R&E2013,wing length,mm,75.82,22,1.69,71.22,9,1.38,"Reported SE.male: 0.36, SE.female: 0.46",No,Gran Canaria,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,33,R&E2013,wing length,mm,75.96,23,1.73,73,5,1.88,"Reported SE.male: 0.36, SE.female: 0.84",No,La Palma,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,34,R&E2013,wing length,mm,75.55,20,1.43,72.82,11,1.89,"Reported SE.male: 0.32, SE.female: 0.57",No,El Hierro,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,35,R&E2013,wing length,mm,75.06,18,1.78,71.83,6,0.76,"Reported SE.male: 0.42, SE.female: 0.31",No,La Graciosa,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,36,R&E2013,wing length,mm,77.78,23,1.68,73.4,10,1.26,"Reported SE.male: 0.35, SE.female: 0.4",No,Desertas,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,37,R&E2013,wing length,mm,77.17,18,1.48,73.62,13,1.55,"Reported SE.male: 0.35, SE.female: 0.43",No,Madeira,Not tracked
Anthus berthelotii,Illera et al. 2007,https://doi.org/10.1111/j.1365-294X.2007.03543.x,38,R&E2013,wing length,mm,77.41,17,1.44,74.14,14,1.31,"Reported SE.male: 0.35, SE.female: 0.35",No,Porto Santo,Not tracked
Aphrastura spinicauda,Moreno et al. 2007,https://doi.org/10.1093/condor/109.2.312,39,R&E2013,wing length,mm,58,27,1.56,55,29,1.62,"Original SD.male: 1.65, mean.male: 55, SD.female: 1.76; reported SE.male: 0.3, SE.female: 0.3",No,"Nothofagus forests on the island of Navarino (54°55'S,67°40'W)",Not tracked
Apus pallidus,Boano et al. 2015,https://doi.org/10.13157/arla.62.1.2015.35,40,new,wing length,mm,176.96,28,4.52,174.72,32,3.7,Estimates are from the original data base but the reference was McCollin et al. 2015,No,"Carmagnola (44°50’N, 7°43’W) and Torino (45°04’N, 7°40’W)",Not tracked
Apus unicolor,Garcia-Del-Rey et al. 2008,https://doi.org/10.1080/03078698.2008.9674379,41,R&E2013,wing length,mm,153.1,35,2.4,151.4,44,3.2,NA,No,eight colony sites on Tenerife,Not tracked
Atlapetes melanolaemus,Kennedy et al. 2018,https://journals.sfu.ca/ornneo/index.php/ornneo/article/viewFile/323/ON%20SI%2029%20%282018%29%20S63-S73%20%281%29.pdf,42,new,wing chord,mm,72.4,53,2.6,68.2,29,1.6,NA,No,"Manu National Park, Peru, at Wayqecha Biological Station (13°11'14.4''S, 71°35'9.3''W, 2900 m a.s.l.)",natural wing chord (Pyle 1997)
Augastes scutatus,Rodrigues & Rodrigues 2011,https://doi.org/10.1676/11-042.1,43,new,wing length,mm,52.6,44,2.9,51.1,27,2.4,NA,No,"Alto do Palácio (AP) (19°15'S, 43°31'W)",Not tracked
Bonasa sewerzowi,Sun et al. 2005,https://doi.org/10.1007/s10336-004-0046-5,44,R&E2013,wing length,mm,173.5,42,5.1,168.9,42,5.4,"Original SD.male: 5.10521183431953, SD.female: 5.40639905325444",No,"Lianhuashan Natural Reserve (34°45'–35°06'N, 103°27'–103°51'E)",Not tracked
Calidris alpina,Koloski et al. 2016,https://doi.org/10.1675/063.039.0104,45,new,wing chord,mm,119.2,27,2.75,121,31,3.4,"Reported SE.male: 0.53, SE.female: 0.61",No,"Churchill, Manitoba, Canada (58° 46' 09"" N, 94° 10' 09"" W)",Not tracked
Calidris alpina schinzii,Jønsson 1987,https://doi.org/10.2307/3676893,46,R&E2013,wing length,mm,111.17,58,3.43,114.11,57,2.81,NA,No,"Foteviken Bay (55°17'N, 12°58'E)",Not tracked
Calidris fuscicollis,Scherer et al. 2014,https://doi.org/10.1676/13-121.1,47,new,wing length,mm,121.4,82,3.52,122.6,102,2.82,NA,No,"Ramsar area (Wetlands International 2013) at LPNP (31°26'S, 51°10'W and 31°14'S, 50°54'W)",Not tracked
Calidris maritima,Dierschke 1995,https://www.zobodat.at/pdf/Vogelwarte_38_1995_0046-0051.pdf,48,new_21,wing length,mm,137.2,135,2.3,143,47,2.7,"Estimates originally extracted by Dierschke 1995 from Summers et al. 1988; reported estimates are of adults and 2 year-olds, 2 year-olds can breed",No,"Raufarhofn, Melrakkasletta, north Iceland",Not tracked
Calidris maritima,Dierschke 1995,https://www.zobodat.at/pdf/Vogelwarte_38_1995_0046-0051.pdf,49,new_21,wing length,mm,125.8,49,2.5,129.7,18,3.3,"Estimates originally extracted by Dierschke 1995 from Nicoll et al. 1991; reported estimates are of adults and 2 year-olds, 2 year-olds can breed",No,Southern Norway (Hardangervidda),Not tracked
Calidris maritima,Dierschke 1995,https://www.zobodat.at/pdf/Vogelwarte_38_1995_0046-0051.pdf,50,new_21,wing length,mm,126.1,7,2.7,128.5,2,2.1,Estimates originally extracted by Dierschke 1995 from Nicoll et al. 1991,No,"Northern Norway (near Tromso, Troms, and Nordkinnhalvoya and Bekkarfjord, Finnmark)",Not tracked
Calidris maritima,Dierschke 1995,https://www.zobodat.at/pdf/Vogelwarte_38_1995_0046-0051.pdf,51,new_21,wing length,mm,129.3,79,2.3,134.6,29,2.6,Estimates originally extracted by Dierschke 1995 from Nicoll et al. 1991,No,Svalbard (Longyearbyen and Ny Alesund),Not tracked
Calidris maritima,Dierschke 1995,https://www.zobodat.at/pdf/Vogelwarte_38_1995_0046-0051.pdf,52,new_21,wing length,mm,122.6,8,1.7,128,3,1.7,Estimates originally extracted by Dierschke 1995 from Tomkovich 1985,No,Franz-Josef-Land,Not tracked
Calidris maritima,Summers 2009,https://doi.org/10.1080/00063650902937321,53,R&E2013,wing length,mm,132.1,154,2.6,137.6,78,3.4,Only estimates of adults,No,"Reykjanes Peninsula, southwest iceland",Not tracked
Calidris mauri,Sandercock 1998,https://doi.org/10.2307/4089430,54,R&E2013,wing length,mm,97.5,98,2.5,101.1,98,2.6,NA,No,"Nome, Alaska (64°20'N, 164°56'W)",Not tracked
Calidris minuta,Niemc et al. 2018,https://doi.org/10.7717/peerj.5367,55,new,wing length,mm,98.4,77,2,102.2,80,1.9,NA,No,,Not tracked
Calidris pusilla,Sandercock 1998,https://doi.org/10.2307/4089430,56,R&E2013,wing length,mm,97,95,2.5,99.1,106,2.7,NA,No,"Nome, Alaska (64°20'N, 164°56'W)",Not tracked
Calidris temminckii,Lislevand et al. 2009,https://doi.org/10.1007/s10336-008-0323-9,57,R&E2013,wing length,mm,99.56,17,2.18,102.84,28,1.44,NA,No,"Varanger Peninsula near Vardø, northern Norway (approx. 70°25'N, 31°00'E)",Not tracked
Callipepla gambelii,Hagelin 2002,https://doi.org/10.1093/beheco/13.1.32,58,new,wing length,mm,113.5,39,4,NA,NA,NA,No female measurements,No,Purchased and reared in New Mexico,Not tracked
Callipepla squamata,Hagelin 2002,https://doi.org/10.1093/beheco/13.1.32,59,new_21,wing length,mm,117,40,4,NA,NA,NA,No female measurements,No,Purchased and reared in New Mexico,Not tracked
Calonectris diomedea diomedea,Ramos et al. 2009,https://doi.org/10.1525/cond.2009.090008,60,R&E2013,wing length,mm,380.6,69,5.6,367.5,57,7.5,NA,No,"Selvagem Grande, Savage Islands (30°09'N, 15°52'W)",Not tracked
Calypte anna,Stiles et al. 2005,https://doi.org/10.1093/auk/122.3.872,61,new_21,wing length,mm,49.52,14,0.78,50.3,10,0.77,NA,No,intact hummingbird carcasses sent frozen from several U.S. museums,Not tracked
Carduelis cannabina,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,62,new_21,wing length,mm,81.8,28,1.9,NA,NA,NA,"Young males are over 1 year older, and thus, can breed",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Carduelis cannabina,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,62,new_21,wing length,mm,82.5,26,1.5,NA,NA,NA,NA,No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Carduelis chloris,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,63,R&E2013,wing length,mm,91.9,33,1.5,87.3,26,1.8,NA,No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Carduelis chloris,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,63,R&E2013,wing length,mm,90.5,34,2,NA,NA,NA,"Young males are over 1 year older, and thus, can breed",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Carpodacus mexicanus,Nolan et al. 1998,https://doi.org/10.1098/rspb.1998.0384,64,new,wing chord,mm,77.98,182,2,76.39,259,2,"AST: added subsp frontalis since that is how it is reported in Badyaev & Hill 2000, just to standardize across studies",No,Central Alabama,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,65,R&E2013,wing length,mm,80.74,74,1.99,78.32,70,2.04,NA,No,Mexico,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,66,R&E2013,wing length,mm,80,102,1.59,77.61,86,1.64,NA,No,California,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,67,R&E2013,wing length,mm,79.3,91,1.81,77.32,91,2.06,NA,No,Montana,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,68,R&E2013,wing length,mm,80.98,76,2.15,79.37,53,1.5,NA,No,Hawaii,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,69,R&E2013,wing length,mm,80.55,60,1.52,77.87,59,1.01,NA,No,New York,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,70,R&E2013,wing length,mm,80.06,88,1.96,77.87,88,1.89,NA,No,Michigan,Not tracked
Carpodacus mexicanus frontalis,Badyaev & Hill 2000,https://doi.org/10.1111/j.0014-3820.2000.tb00722.x,64,R&E2013,wing length,mm,79.72,90,1.91,77.13,90,2.02,AST: looks like this population and that of Nolan et al. 1998 are the same.,No,Alabama,Not tracked
Catharacta skua,Catry et al. 1991,https://doi.org/10.2307/4089462,71,R&E2013,wing chord,mm,416.8,112,7.1,427.4,127,7.1,There seems to be no report of the measurement method,No,"Foula, Shetland (60°08'N, 2°05'W)",NA
Charadrius pecuarius,Meissner et al. 2011,https://doi.org/10.2989/00306525.2011.603470,72,new,wing length,mm,108.1,18,2.21,107.2,13,3.91,"Unsure about the measurement method, cannot find Meissner (2008), the reference for the exact method",No,"North West province, South Africa (26°34? S, 25°36? E)",Meissner (2008)
Charadrius semipalmatus,Teather & Nol 1997,https://doi.org/10.2307/1370492,73,R&E2013,wing length,mm,123.7,153,2.84,125.57,145,2.77,"Unclear if deviation is SE or SD, assuming it is SE: Reported SE.male: 0.23, SE.female: 0.23, original SD.male: 2.84494288167619, SD.female: 2.76956675312223",No,"Churchill, Manitoba (58°45'N, 95°04'W)",Not tracked
Chersophilus duponti,Vøgeli et al. 2007,https://digital.csic.es/bitstream/10261/58108/1/aardeola07.pdf,74,R&E2013,wing length,mm,102.4,286,2.5,91.9,28,2.5,"Several populations; reported deviation is SD, not SE as reported, otherwise, there would be individuals out there with negative wing sizes, plus, it is clear by simply looking at the similarity between the values from males and females despite that there were about 10 times more males",No,Spain (mostly Ebro valley) and Morocco,Svensson (1992)
Chionis minor,Bried & Jouventin 1997,https://doi.org/10.2307/1370496,75,R&E2013,wing length,mm,245.8,30,4.9,234,29,4.4,NA,No,Iles Kerguen,Not tracked
Chionis minor,Bried & Jouventin 1997,https://doi.org/10.2307/1370496,76,R&E2013,wing length,mm,218,24,5.9,207.3,28,5.2,NA,No,Prince Edward Island,Not tracked
Chionis minor,Bried & Jouventin 1997,https://doi.org/10.2307/1370496,77,R&E2013,wing length,mm,221,7,2.6,211.3,6,4,NA,No,Crozet Islands,Not tracked
Chionis minor,Burger 1997,https://doi.org/10.1080/00306525.1980.9633539,78,new_21,wing length,mm,221,36,4,211,27,4,AST: added by AST,No,Marion Island,wing length taken flattened and straightened
Chlidonias hybrida,Ledwon 2011,https://doi.org/10.5253/078.099.0209,79,R&E2013,wing length,mm,237.6,86,5.2,230.4,64,5.3,NA,No,"Upper Vistula Valley River in southern Poland (49°59'N, 19°26'E)",Not tracked
Cinclus cinclus,Campos et al. 2005,https://doi.org/10.3161/068.040.0204,80,R&E2013,wing length,mm,92.55,19,2.48,84.38,9,0.99,"Reported SE.male: 0.57, SE.female: 0.33, original trait: wing size, reported trait: wing length (maximum span)",No,Cantabrian Mountains,wing length (maximum span)
Cinclus cinclus,Campos et al. 2005,https://doi.org/10.3161/068.040.0204,81,R&E2013,wing length,mm,92.47,44,2.19,84.61,49,2.03,"Reported SE.male: 0.41, SE.female: 0.29, original trait: wing size, reported trait: wing length (maximum span)",No,Western Pyrenees,Not tracked
Cinclus cinclus,Campos et al. 2005,https://doi.org/10.3161/068.040.0204,82,R&E2013,wing length,mm,93.16,15,2.03,85.05,17,2.03,"Reported SE.male: 0.43, SE.female: 0.39, original trait: wing size, reported trait: wing length (maximum span)",No,Central Mountains,Not tracked
Cinclus cinclus,Campos et al. 2005,https://doi.org/10.3161/068.040.0204,83,R&E2013,wing length,mm,96.22,18,2.16,88.79,22,2.39,"Reported SE.male: 0.51, SE.female: 0.39, original trait: wing size, reported trait: wing length (maximum span)",No,Sierra Nevada Mountains,Not tracked
Cinclus cinclus,Moreno-Rueda & Rivas 2007,https://doi.org/10.1007/s10336-007-0184-7,83,R&E2013,wing length,mm,95.9,196,2.27,88.3,180,1.96,"Added year to reference, no mention of wing length measurement method used. Assumed the same population than in Campos et al. 2005, since they are both in Sierra Nevada, South Spain, and both rivers sampled are essentially the same in a continuum",No,"Sierra Nevada, Spain",NA
Circus aeruginosus,Bavoux et al. 2006,https://doi.org/10.3356/0892-1016(2006)40[57:GDITWM]2.0.CO;2,84,R&E2013,wing chord,mm,389.9,130,10.2,411.1,74,10.8,NA,No,"Marshes of Charente-Maritime (45°57'N, 01°09'W; western France)",Spencer 1984
Cyanistes teneriffae,Garcia-Del-Rey et al. 2010,https://doi.org/10.2989/00306525.2010.455819,85,R&E2013,wing length,mm,64.7,100,1.2,60.5,100,1.2,Cannot access source for measurement,No,Tenerife,"wing length (maximum chord) (Redfern C, Clark JA (eds). 2001. Ringers’ manual. Thetford: British Trust for Ornithology.)"
Cyanopica cyanus,Alarcos et al. 2007,https://doi.org/10.1080/03078698.2007.9674366,86,R&E2013,wing length,mm,134.4,34,3.3,129.4,30,4.4,"Original trait: wing size, reported trait: wing length; unsure if wing flattened or not",No,"Azure-winged Magpies in Extremadura, southwestern Spain (39° 03’N 6° 48’W; Cruz 1988)","""wing length (WL), calculated as the distance from the carpal joint to the tip of the longest primary"""
Cygnus atratus,Kraaijeveld et al. 2004,https://doi.org/10.1093/beheco/arh023,87,R&E2013,wing length,mm,496.4,67,17.19,458.7,75,38.97,"Original SD.male: 17.1892408209321, SD.female: 38.9514019933555, reported SE.male: 2.1, SE.female: 4.5",No,"Lake Wendouree, Ballarat, Australia (37° 33'S, 143° 49'E)",Not tracked
Cygnus columbianus,Miller et al. 1988,https://doi.org/10.2307/1368837,88,R&E2013,wing length,mm,540.9,23,11,511.4,27,15.5,NA,No,"Eel river, Humboldt County, California",Not tracked
Cygnus cygnus,Albertsen et al. 2002,https://www.jstor.org/stable/1522372,89,R&E2013,wing length,mm,604,31,23,583,41,21,NA,No,"Notsuke Bay (60 ha; 43°35'N, 145°18'E)",Not tracked
Cygnus olor,Wlodarczyk et al. 2016,https://doi.org/10.3161/15052249PJE2016.64.2.013,90,new,wing chord,mm,599.2,35,16.9,571,35,10.7,"Original trait: wing length, measurement reports ""wing chord"" though",No,"Poland, ?ód? region (8.800 sq km, 51°21?N, 18°38?E ? 52°07?N, 20°02?E)",total wing length (measured along the wing chord)
Daption capense,Weidinger & Frankener 1998,https://doi.org/10.1111/j.1469-7998.1998.tb00122.x,91,R&E2013,wing length,mm,279.2,83,6.44,275.8,89,5.61,NA,No,"Nelson Island (South Shetland Islands, 62°14'S, 59°01'W)","""maximum flattened chord (+/- 1 mm)"""
Daption capense,Weidinger & Frankener 1998,https://doi.org/10.1111/j.1469-7998.1998.tb00122.x,92,R&E2013,wing length,mm,283.1,36,5.49,278,28,6.36,NA,No,"Ardery and O'Connor Islands (66°22'S, 110°30'E)","""maximum flattened chord (+/- 1 mm)"""
Dendrocopos leucotos,Stenberg & Hogstad 2004,https://doi.org/10.1007/s10336-004-0045-6,93,R&E2013,wing length,mm,145.1,58,2.8,142.8,56,2.3,NA,No,Surnadal community in western Norway (about 63°N),"""wing length (maximum, flattened length; Svensson 1992)"""
Dendrocopos medius,Leniowski et al. 2014,https://doi.org/10.3161/173484714X687154,94,new,wing length,mm,126.5,10,3.2,126.2,10,1.9,No detailed account of measurement method used,No,"Warta river valley near Czeszewo (17°31’E, 52°09’N)",NA
Dendrocopos pubescens,James 1970,https://doi.org/10.2307/1935374,95,new_21,wing chord,mm,94.7,3,1.53,92.8,5,2.75,AST: avoided using the weighted averaged included before and simply using each of the estimates reported,No,"Ft. Lee, New Jersey","(…), the chord of the wing was measured to the nearest millimeter."
Dendrocopos pubescens,James 1970,https://doi.org/10.2307/1935374,95,new_21,wing chord,mm,94.5,9,1.46,94.4,6,2.01,AST: avoided using the weighted averaged included before and simply using each of the estimates reported,No,"Ft. Lee, New Jersey","(…), the chord of the wing was measured to the nearest millimeter."
Dendrocopos pubescens,James 1970,https://doi.org/10.2307/1935374,96,R&E2013,wing chord,mm,91.9,21,2,92.4,12,2.01,Original: wing length,No,"Lawrence, Kansas","""(…), the chord of the wing was measured to the nearest millimeter."""
