"population_ID","species.updated","species","study_ID","reference_link","subset","trait","unit","mean","n","SD","comments","location","measurement_notes","pair_ID","sex","migratory","migratory.comments","feeding.type","feeding.type.comments","migratory.pop.level","feeding.type.pop.level","broader.comments","migratory.inc.vagrants.pop.level","migratory.inc.vagrants","species.updated.new","species.updated.rep","species.updated.new.rep","effectsize_ID","yi","vi","CV","sex.num","migratory.pop.level.num","feeding.type.pop.level.num","migratory.inc.vagrants.pop.level.num"
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",100.36,298,2.17,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked","12","female","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",11,-3.83235305226235,0.00168507053522221,2.16585918240594,-1,-1,-1,-1
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",120.24,630,2.73,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked","12","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",12,-3.78439322368823,0.000795730811117219,2.27226461580232,1,-1,-1,-1
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",124.9,77,2.3,"No female measurements","Muhlenberg County, Kentucky","Not tracked","13","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",13,-3.98802534682801,0.00658335129500195,1.85362807302917,1,-1,-1,-1
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.1,97,2.9,"No female measurements","Muhlenberg County, Kentucky","Not tracked","14","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",14,-3.7591943471471,0.00521387333176962,2.33025065452504,1,-1,-1,-1
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.2,73,3.2,"No female measurements","Muhlenberg County, Kentucky","Not tracked","15","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",15,-3.65981720441587,0.0069533933193821,2.5737216945997,1,-1,-1,-1
"7","Agelaius phoeniceus","Agelaius phoeniceus","Westneat 2006","https://doi.org/10.1086/503385","new","wing length","mm",125.9,89,2.3,"No female measurements","Muhlenberg County, Kentucky","Not tracked","16","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus",16,-3.99689699993338,0.00568556803449115,1.83725605857679,1,-1,-1,-1
"8","Alauda arvensis","Alauda arvensis","Møller 1991","https://doi.org/10.1007/BF00164379","new","wing length","mm",103.3,12,5.6,NA,"Kraghede (57°12'N, 10°00'E), Denmark","Not tracked","17","female","partially migratory","some populations are resident year-round","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Alauda arvensis","Alauda arvensis","Alauda arvensis",17,-2.86941623292994,0.0456994484882505,5.67320352090152,-1,-1,-1,-1
"8","Alauda arvensis","Alauda arvensis","Møller 1991","https://doi.org/10.1007/BF00164379","new","wing length","mm",114.1,33,4.6,NA,"Kraghede (57°12'N, 10°00'E), Denmark","Not tracked","17","male","partially migratory","some populations are resident year-round","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Alauda arvensis","Alauda arvensis","Alauda arvensis",18,-3.19539395337298,0.0156742527443915,4.09503896538015,1,-1,-1,-1
"9","Alle alle","Alle alle","Jakubas & Wojczulanis 2007","https://doi.org/10.1675/1524-4695(2007)030[0092:PTSODB]2.0.CO;2","R&E2013","wing length","mm",125.6,181,2.87,NA,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)","Not tracked","18","male","partially migratory","some populations are resident year-round","fully aerial feeding","flying under water","non-migratory","fully aerial feeding","The population in Swalbard seems to be residents the others migrants","non-migratory","partially migratory","Alle alle","Alle alle","Alle alle",19,-3.77601244648479,0.00278066251288408,2.29138798169789,1,-1,1,-1
"9","Alle alle","Alle alle","Jakubas & Wojczulanis 2007","https://doi.org/10.1675/1524-4695(2007)030[0092:PTSODB]2.0.CO;2","R&E2013","wing length","mm",125.2,150,3.18,NA,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)","Not tracked","18","female","partially migratory","some populations are resident year-round","fully aerial feeding","flying under water","non-migratory","fully aerial feeding","The population in Swalbard seems to be residents the others migrants","non-migratory","partially migratory","Alle alle","Alle alle","Alle alle",20,-3.66967555717593,0.00336000554825554,2.54847369455497,-1,-1,1,-1
"10","Alle alle","Alle alle","Roby et al. 1981","https://doi.org/10.14430/arctic2526 ","R&E2013","wing length","mm",123.1,117,2.73,"Original mean.male: 123.106411310382, original mean.female: 122.38786748062; original SD.male: 2.68977715119272, original SD.female: 2.47064535026648","Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)","Not tracked","19","male","partially migratory","some populations are resident year-round","fully aerial feeding","flying under water","fully migratory","fully aerial feeding","The population in Swalbard seems to be residents the others migrants","fully migratory","partially migratory","Alle alle","Alle alle","Alle alle",21,-3.80438507916595,0.00431454844639387,2.22728890194153,1,1,1,1
"10","Alle alle","Alle alle","Roby et al. 1981","https://doi.org/10.14430/arctic2526 ","R&E2013","wing length","mm",122.4,92,2.95,"Original mean.male: 123.106411310382, original mean.female: 122.38786748062; original SD.male: 2.68977715119272, original SD.female: 2.47064535026648","Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)","Not tracked","19","female","partially migratory","some populations are resident year-round","fully aerial feeding","flying under water","fully migratory","fully aerial feeding","The population in Swalbard seems to be residents the others migrants","fully migratory","partially migratory","Alle alle","Alle alle","Alle alle",22,-3.71999469423199,0.00550081933155163,2.42340964258435,-1,1,1,1
"11","Ammodramus savannarum","Ammodramus savannarum ammolegus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new","wing chord","mm",62.7,106,1.5,"No female measurements","Southeastern Arizona: Audubon Appleton-Whittell Research Ranch (Audubon) (lat: 31°36'4''N; long:  -110°30'40''W; elev: 1497 m), Las Cienegas National Conservation Area (Davis) (lat: 31°41'42''N; long:  -110°35'46; elev: 1430 m)
elev: 1430 m), breeding seasons in 2009–2013","Not tracked","20","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",23,-3.72813443476881,0.00476730411303234,2.40376378145562,1,1,-1,1
"13","Ammodramus savannarum","Ammodramus savannarum floridanus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",59.7,99,1.4,"Estimates originally extracted by Ruth 2017 from Ragheb & Miller (unpub. data)","Florida","Not tracked","21","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",24,-3.74775774296102,0.00510759566477255,2.35705378516891,1,1,-1,1
"14","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",62.6,105,1.4,"Estimates originally extracted by Ruth 2017 from Boyle (unpub. data)","Kansas","Not tracked","22","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",25,-3.79548534917715,0.00481245571924766,2.24719964045488,1,1,-1,1
"15","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",62.1,42,2.2,"Estimates originally extracted by Ruth 2017 from Jones (unpub. data)","Montana","Not tracked","23","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",26,-3.32809350662394,0.0122250041720513,3.5861409475637,1,1,-1,1
"16","Ammodramus savannarum","Ammodramus savannarum perpallidus","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",61.7,34,1.8,"Estimates originally extracted by Ruth 2017 from Collier 1994 (master's thesis); cannot find reference","California","Not tracked","24","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",27,-3.51934575085771,0.0151765471639051,2.96188069092445,1,1,-1,1
"17","Ammodramus savannarum","Ammodramus savannarum pratensis","Ammer et al. 2008","https://doi.org/10.1676/07-002.1","new","wing chord","mm",59.3,31,1.06,"Cited in Ruth 2017 but part of the original dataset, SE reportet instead of SD. Extracted separately to add the female estimates too","Boone, Logan, Kanawha, and Fayette counties in southwestern West Virginia","Not tracked","25","female","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",28,-4.00767373121304,0.0166769738654047,1.81756274908843,-1,1,-1,1
"17","Ammodramus savannarum","Ammodramus savannarum pratensis","Ammer et al. 2008","https://doi.org/10.1676/07-002.1","new","wing chord","mm",62.5,131,1.95,"Cited in Ruth 2017 but part of the original dataset, SE reportet instead of SD. Extracted separately to add the female estimates too","Boone, Logan, Kanawha, and Fayette counties in southwestern West Virginia","Not tracked","25","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",29,-3.46349103032055,0.0038535846858485,3.13202310653735,1,1,-1,1
"18","Ammodramus savannarum","Ammodramus savannarum pratensis","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",62.6,212,1.6,"Estimates originally extracted by Ruth 2017 from Wenny 2005; table 2 page 10 would need to be summarized to double check the estimate","Illinois","Not tracked","26","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",30,-3.66439198061387,0.0023727496986646,2.56197438499502,1,1,-1,1
"19","Ammodramus savannarum","Ammodramus savannarum pratensis","Ruth 2017","https://doi.org/10.1674/0003-0031-178.1.64","new_21","wing chord","mm",59.8,42,1.3,"Estimates originally extracted by Ruth 2017 from JVWells in Vickery 1996; cannot access reference","Maine","Not tracked","27","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Ammodramus savannarum","Ammodramus savannarum","Ammodramus savannarum",31,-3.81644627453788,0.0122063740891257,2.20058649055045,1,1,-1,1
"21","Anas cyanoptera septentrionalium","Anas cyanoptera septentrionalium","Wilson et al. 2012","https://doi.org/10.3184/175815512X13350025801205","new","wing chord","mm",180.7,10,5.06,"Reported SE.male: 0.87, SE.female: 1.60; original SD.male: 6.15182899632296, SD.female: 5.05964425626941","California, Colorado, Oregon, and Utah","Not tracked","28","female","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Spatula cyanoptera","Anas cyanoptera septentrionalium","Spatula cyanoptera",32,-3.51991615874325,0.0556339679522824,2.96019169257709,-1,1,-1,1
"21","Anas cyanoptera septentrionalium","Anas cyanoptera septentrionalium","Wilson et al. 2012","https://doi.org/10.3184/175815512X13350025801205","new","wing chord","mm",188.8,50,6.15,"Reported SE.male: 0.87, SE.female: 1.60; original SD.male: 6.15182899632296, SD.female: 5.05964425626941","California, Colorado, Oregon, and Utah","Not tracked","28","male","partially migratory","some populations are resident year-round","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","partially migratory","Spatula cyanoptera","Anas cyanoptera septentrionalium","Spatula cyanoptera",33,-3.41403209026032,0.0102253031409301,3.2908243500854,1,1,-1,1
"22","Anas discors","Anas discors","Wilson et al. 2012","https://doi.org/10.3184/175815512X13350025801205","new","wing chord","mm",177.2,13,4.98,"Reported SE.male: 0.7, SE.female: 1.38; original SD.male: 4.08166632639171, SD.female: 4.9756607601403","North Dakota, Oregon, and South Dakota","Not tracked","29","female","fully migratory","although some populations are resident year-round, the resident area is very small","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","fully migratory","Spatula discors","Anas discors","Spatula discors",34,-3.53018248046775,0.0417274224882544,2.92995687801702,-1,1,-1,1
"22","Anas discors","Anas discors","Wilson et al. 2012","https://doi.org/10.3184/175815512X13350025801205","new","wing chord","mm",187.6,34,4.08,"Reported SE.male: 0.7, SE.female: 1.38; original SD.male: 4.08166632639171, SD.female: 4.9756607601403","North Dakota, Oregon, and South Dakota","Not tracked","29","male","fully migratory","although some populations are resident year-round, the resident area is very small","non-aerial feeding","","fully migratory","non-aerial feeding","","fully migratory","fully migratory","Spatula discors","Anas discors","Spatula discors",35,-3.81306353300454,0.0151654267085639,2.20804311066856,1,1,-1,1
"23","Eurillas latirostris","Andropadus latirostris","Dongmo et al. 2015","https://doi.org/10.1111/aje.12184","new","wing length","mm",80.6,27,2.8,"Original reference: Dongmo et al. 2014, Cameroon population","Lower Guinean forest, Cameroon","Not tracked","30","male","non-migratory","categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Eurillas latirostris","Eurillas latirostris","Eurillas latirostris",36,-3.34064846310065,0.0192754666259829,3.54139856112047,1,-1,-1,-1
"23","Eurillas latirostris","Andropadus latirostris","Dongmo et al. 2015","https://doi.org/10.1111/aje.12184","new","wing length","mm",74.2,18,1.9,"Original reference: Dongmo et al. 2014, Cameroon population","Lower Guinean forest, Cameroon","Not tracked","30","female","non-migratory","categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Eurillas latirostris","Eurillas latirostris","Eurillas latirostris",37,-3.63549849929506,0.0294481919978149,2.63707852924108,-1,-1,-1,-1
"24","Eurillas latirostris","Andropadus latirostris","Dongmo et al. 2015","https://doi.org/10.1111/aje.12184","new","wing length","mm",79.4,15,1.9,"Original reference: Dongmo et al. 2014, population from Ghana","Upper Guinean forest, Ghana","Not tracked","31","male","non-migratory","categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Eurillas latirostris","Eurillas latirostris","Eurillas latirostris",38,-3.69693019636641,0.0357524603532128,2.47995394545071,1,-1,-1,-1
"24","Eurillas latirostris","Andropadus latirostris","Dongmo et al. 2015","https://doi.org/10.1111/aje.12184","new","wing length","mm",73.4,26,2,"Original reference: Dongmo et al. 2014, population from Ghana","Upper Guinean forest, Ghana","Not tracked","31","female","non-migratory","categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Eurillas latirostris","Eurillas latirostris","Eurillas latirostris",39,-3.58277675506052,0.0200285558126213,2.77984016356064,-1,-1,-1,-1
"25","Arizelocichla tephrolaema","Andropadus tephrolaemus","Nana et al. 2014","https://doi.org/10.3377/004.049.0214","new","wing length","mm",82.9,23,3.1,NA,"Mount Cameroon National Park, Cameroon (4°08’N, 9°07’E)","Not tracked","32","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Arizelocichla tephrolaema","Arizelocichla tephrolaema","Arizelocichla tephrolaema",40,-3.26350567792288,0.022788070334947,3.82540562751534,-1,-1,-1,-1
"25","Arizelocichla tephrolaema","Andropadus tephrolaemus","Nana et al. 2014","https://doi.org/10.3377/004.049.0214","new","wing length","mm",86.3,43,3.2,NA,"Mount Cameroon National Park, Cameroon (4°08’N, 9°07’E)","Not tracked","32","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Arizelocichla tephrolaema","Arizelocichla tephrolaema","Arizelocichla tephrolaema",41,-3.28277402637894,0.0119367368573826,3.75240196753203,1,-1,-1,-1
"26","Anous stolidus","Anous stolidus","Chardine & Morris 1989","https://doi.org/10.2307/1368071","R&E2013","wing length","mm",268,23,3.7,NA,"Culebra National Wild-life Refuge, Culebra, Puerto Rico (18°20'N,65°18'W)","Not tracked","33","female","non-migratory","non-directional migration, but rather vagrancy during the non-breeding season","fully aerial feeding","ocean surface feeding, can also fly under water","non-migratory","fully aerial feeding","","fully migratory","fully migratory","Anous stolidus","Anous stolidus","Anous stolidus",42,-4.25992688813341,0.0227355598930015,1.4123334955799,-1,-1,1,1
"26","Anous stolidus","Anous stolidus","Chardine & Morris 1989","https://doi.org/10.2307/1368071","R&E2013","wing length","mm",273,26,4.2,NA,"Culebra National Wild-life Refuge, Culebra, Puerto Rico (18°20'N,65°18'W)","Not tracked","33","male","non-migratory","non-directional migration, but rather vagrancy during the non-breeding season","fully aerial feeding","ocean surface feeding, can also fly under water","non-migratory","fully aerial feeding","","fully migratory","fully migratory","Anous stolidus","Anous stolidus","Anous stolidus",43,-4.15438726989564,0.0200091033227128,1.56954052311809,1,-1,1,1
"27","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",69.76,25,1.65,"Reported SE.male: 0.34, SE.female: 0.33","Selvagen Grande","Not tracked","34","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",44,-3.7234521583549,0.0208557110069824,2.41504525880078,-1,-1,-1,-1
"27","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",72.7,27,1.77,"Reported SE.male: 0.34, SE.female: 0.33","Selvagen Grande","Not tracked","34","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",45,-3.69613106872297,0.0192527232452762,2.48193653726944,1,-1,-1,-1
"28","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",73,2,1.41,"Reported SE.male: 0.56, SE.female: 1","Fuerteventura","Not tracked","35","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",46,-3.44686973675831,0.500186535935448,3.18451642696874,-1,-1,-1,-1
"28","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",76.3,10,1.77,"Reported SE.male: 0.56, SE.female: 1","Fuerteventura","Not tracked","35","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",47,-3.70813783614912,0.0556093698259822,2.45231468967971,1,-1,-1,-1
"29","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",72.69,8,1.5,"Reported SE.male: 0.25, SE.female: 0.53","Tenerife","Not tracked","36","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",48,-3.80931014395981,0.0714817998017982,2.21634632834564,-1,-1,-1,-1
"29","Anthus berthelotii","Anthus berthelotii","Illera et al. 2007","https://doi.org/10.1111/j.1365-294X.2007.03543.x","R&E2013","wing length","mm",76.15,24,1.22,"Reported SE.male: 0.25, SE.female: 0.53","Tenerife","Not tracked","36","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Anthus berthelotii","Anthus berthelotii","Anthus berthelotii",49,-4.11211509016122,0.0217498251347267,1.63731072789254,1,-1,-1,-1
