species.updated,migratory,migratory.comments,feeding.type.aerial,feeding.type.comments
Fulica atra,partially,some populations are resident year-round,no,"although it dives, it seems to use mostly the feet for it"
Geospiza fortis,no,,no,
Geospiza scandens,no,,no,
Geothlypis trichas,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial
Haematopus ostralegus,yes,"although some populations are resident year-round, the resident area is very small",no,
Haemorhous mexicanus,no,,no,
Hemitriccus nidipendulus,no,,no,
Hippolais icterina,yes,,partially,aerial and non-aerial
Hirundo rustica,yes,"although some populations are resident year-round, the resident area is very small",yes,
Hydrobates pelagicus,yes,"although some populations are resident year-round, the resident area is very small",yes,
Jacana jacana,no,there is vagrancy but not directional migration per se,no,
Junco hyemalis,partially,some populations are resident year-round,no,
Lagopus lagopus,no,,no,
Lanius collurio,yes,,yes,
Lanius ludovicianus,partially,some populations are resident year-round,yes,
Lanius meridionalis,no,there does not seem to be directional migration,yes,
Lanius senator,yes,,yes,
Larus atlanticus,no,there does not seem to be directional migration,partially,aerial and non-aerial
Larus crassirostris,partially,some populations are resident year-round,partially,aerial and non-aerial
Larus michahellis,partially,some populations are resident year-round,partially,aerial and non-aerial
Leiothrix lutea,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,
Limosa lapponica,yes,,no,
Limosa limosa,yes,"although some populations are resident year-round, the resident area is very small",no,
Linaria cannabina,partially,some populations are resident year-round,no,
Locustella luscinioides,yes,,no,
Loxia curvirostra,no,,no,
Luscinia svecica,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial
Macronectes halli,yes,seemingly mostly (or only) migratory,partially,ocean surface feeding and non-aerial (carrion)
Malurus alboscapulatus,no,,no,
Malurus leucopterus,no,,no,
Malurus melanocephalus,no,,no,
Marmaronetta angustirostris,partially,some populations are resident year-round,no,
Merops apiaster,yes,"although some populations are resident year-round, the resident area is very small",yes,
Milvus migrans,partially,some populations are resident year-round,yes,
Mionectes striaticollis,no,,yes,
Nectarinia famosa,no,,partially,aerial and non-aerial
Nectarinia johnstoni,no,,partially,aerial and non-aerial
Oenanthe leucura,no,,partially,aerial and non-aerial
Onychognathus nabouroup,no,,no,
Onychoprion fuscatus,partially,some populations are resident year-round,yes,
Otis tarda,partially,some populations are resident year-round,no,
Pachyptila belcheri,partially,some populations are resident year-round,yes,
Panurus biarmicus,no,,no,
Parus major,no,,no,
Passer domesticus,no,,no,
Passer montanus,no,,no,
Phaethon aethereus,no,there does not seem to be directional migration,yes,
Phaethon lepturus,yes,,yes,
Phaethon rubricauda,yes,,yes,
Phalaropus lobatus,yes,,no,
Phylidonyris novaehollandiae,no,,no,
Phylloscopus canariensis,no,,partially,aerial and non-aerial
Phylloscopus collybita,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial
Phylloscopus sibilatrix,yes,,partially,aerial and non-aerial
Phylloscopus trochilus,yes,,partially,aerial and non-aerial
Picoides pubescens,no,,no,
Plocepasser mahali,no,,no,
Poephila acuticauda,no,,no,
Porphyrio porphyrio,no,,no,
Porzana porzana,no,,no,
Prunella collaris,partially,some populations are resident year-round,no,
Prunella modularis,partially,some populations are resident year-round,no,
Pterodroma arminjoniana,yes,,yes,ocean surface feeding
Puffinus yelkouan,no,there does not seem to be directional migration,yes,ocean surface feeding
Pyrrhocorax graculus,no,,no,
Rallus aquaticus,partially,some populations are resident year-round,no,
Rallus limicola,yes,"although some populations are resident year-round, the resident area is very small",no,
Rissa tridactyla,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial
Selasphorus rufus,yes,,yes,
Selasphorus sasin,yes,"although some populations are resident year-round, the resident area is very small",yes,
Sitta europaea,no,,no,
Stercorarius parasiticus,yes,,yes,
Stercorarius skua,yes,,partially,aerial and non-aerial
Sterna hirundo,yes,long distance migrant in most of distribution,yes,
Sterna paradisaea,yes,,yes,
Streptopelia senegalensis,no,,no,
Sturnus unicolor,no,,no,
Sula dactylatra,no,there does not seem to be directional migration,yes,"plunge diving, feeding on the wing"
Sula leucogaster,no,there does not seem to be directional migration,yes,"plunge diving, feeding on the wing"
Sula nebouxii,no,"there does not seem to be directional migration, and winter and summer distributions mostly overlap",yes,"plunge diving, feeding on the wing"
Sula sula,no,"there does not seem to be directional migration, and winter and summer distributions mostly overlap",yes,"plunge diving, feeding on the wing"
Sylvia nisoria,yes,,no,
Tachycineta bicolor,yes,,yes,
Tetrastes sewerzowi,no,,no,
Thryothorus leucotis,no,,no,
Thryothorus ludovicianus,no,,no,
Troglodytes troglodytes,partially,"populations at the extreme of the distribution migrate, and this account for clearly more than 20% of the entire distribution",no,
Turdus amaurochalinus,partially,some populations are resident year-round,no,
Turdus merula,partially,some populations are resident year-round,no,
Turdus philomelos,yes,"although some populations are resident year-round, the resident area is very small",no,
Tyrannus forficatus,yes,"although some populations are resident year-round, the resident area is very small and wintering grounds do not overlap with breeding grounds",yes,
Tyrannus tyrannus,yes,,yes,
Vanellus cinereus,partially,some populations are resident year-round,no,
Vidua paradisaea,no,,no,
Vidua regia,no,no,no,
Volatinia jacarina,no,"although some populations are resident year-round, the resident area is very small",no,
Yuhina brunneiceps,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,
Zonotrichia leucophrys,partially,some populations are resident year-round,no,
Gallinula galeata,partially,some populations are resident year-round,no,
Charadrius alexandrinus,partially,some populations are resident year-round,no,
Accipiter novaehollandiae,no,,yes,
Accipiter fasciatus,no,,yes,
Branta leucopsis,yes,,no,
Podiceps grisegena,yes,,no,"although it dives, it seems to use mostly the feet for it"
